HOG,OG,Gene.Tree.Parent.Clade,cnat_ref_proteome,mcav_ref_proteome,ofav_ref_proteome,ofra_ref_proteome
N0.HOG0026981,OG0012315,n0,TRINITY_DN2423_c0_g1_i6.p1,TRINITY_DN22852_c0_g1_i7.p1,TRINITY_DN20701_c0_g1_i6.p1,TRINITY_DN9465_c0_g1_i6.p1
N0.HOG0026982,OG0012316,n0,TRINITY_DN24248_c0_g1_i3.p1,TRINITY_DN17520_c1_g1_i5.p1,TRINITY_DN4366_c0_g1_i4.p1,TRINITY_DN13290_c0_g1_i1.p1
N0.HOG0026985,OG0012319,n0,TRINITY_DN24265_c0_g1_i4.p1,TRINITY_DN3755_c0_g1_i4.p1,TRINITY_DN8393_c0_g1_i2.p1,TRINITY_DN8143_c0_g1_i7.p1
N0.HOG0026986,OG0012320,n0,TRINITY_DN24281_c0_g1_i3.p1,TRINITY_DN2278_c2_g1_i1.p1,TRINITY_DN6037_c0_g1_i5.p1,TRINITY_DN7551_c0_g2_i2.p1
N0.HOG0026987,OG0012321,n0,TRINITY_DN24286_c0_g1_i3.p1,TRINITY_DN12455_c0_g1_i5.p1,TRINITY_DN23981_c0_g1_i4.p1,TRINITY_DN39190_c0_g1_i13.p1
N0.HOG0026988,OG0012322,n0,TRINITY_DN24304_c0_g1_i1.p1,TRINITY_DN56555_c0_g1_i2.p2,TRINITY_DN2508_c3_g1_i6.p3,TRINITY_DN19436_c2_g1_i6.p3
N0.HOG0026989,OG0012323,n0,TRINITY_DN24320_c0_g1_i7.p1,TRINITY_DN26687_c0_g1_i12.p1,TRINITY_DN35354_c0_g1_i4.p1,TRINITY_DN7431_c0_g1_i4.p1
N0.HOG0026990,OG0012324,n0,TRINITY_DN2433_c0_g1_i11.p1,TRINITY_DN39678_c0_g1_i14.p1,TRINITY_DN289_c0_g1_i6.p1,TRINITY_DN212_c0_g1_i5.p1
N0.HOG0026992,OG0012326,n0,TRINITY_DN24364_c0_g1_i3.p1,TRINITY_DN34865_c0_g1_i5.p1,TRINITY_DN109935_c0_g1_i5.p1,TRINITY_DN23264_c0_g1_i2.p1
N0.HOG0026993,OG0012327,n0,TRINITY_DN24378_c0_g1_i1.p2,TRINITY_DN9631_c0_g1_i1.p1,TRINITY_DN20759_c0_g1_i1.p1,TRINITY_DN25074_c0_g1_i7.p1
N0.HOG0026994,OG0012328,n0,TRINITY_DN24395_c0_g1_i7.p1,TRINITY_DN23780_c0_g1_i13.p1,TRINITY_DN1671_c0_g1_i3.p1,TRINITY_DN121345_c0_g1_i1.p1
N0.HOG0026995,OG0012329,n0,TRINITY_DN244010_c0_g1_i2.p1,TRINITY_DN7567_c0_g1_i4.p1,TRINITY_DN16628_c0_g1_i21.p2,TRINITY_DN15285_c0_g1_i4.p2
N0.HOG0026996,OG0012330,n0,TRINITY_DN2441_c0_g1_i4.p1,TRINITY_DN8246_c0_g1_i7.p1,TRINITY_DN228_c0_g1_i9.p1,TRINITY_DN841_c0_g1_i3.p1
N0.HOG0026998,OG0012332,n0,TRINITY_DN2444_c0_g1_i5.p1,TRINITY_DN6411_c0_g1_i2.p1,TRINITY_DN3864_c0_g1_i2.p1,TRINITY_DN2516_c0_g1_i5.p1
N0.HOG0026999,OG0012333,n0,TRINITY_DN24452_c0_g1_i3.p1,TRINITY_DN12400_c0_g1_i3.p1,TRINITY_DN29100_c0_g1_i19.p1,TRINITY_DN22417_c0_g1_i6.p1
N0.HOG0027000,OG0012334,n0,TRINITY_DN24458_c0_g1_i3.p1,TRINITY_DN28959_c0_g1_i1.p1,TRINITY_DN95224_c0_g1_i2.p1,TRINITY_DN37273_c0_g1_i1.p1
N0.HOG0027001,OG0012335,n0,TRINITY_DN2446_c0_g1_i2.p1,TRINITY_DN13210_c0_g1_i8.p1,TRINITY_DN6808_c0_g1_i4.p1,TRINITY_DN284342_c0_g1_i1.p2
N0.HOG0027002,OG0012336,n0,TRINITY_DN24474_c0_g1_i3.p1,TRINITY_DN13523_c0_g1_i3.p1,TRINITY_DN10951_c0_g1_i3.p1,TRINITY_DN4137_c0_g1_i6.p1
N0.HOG0027003,OG0012337,n0,TRINITY_DN2447_c0_g1_i17.p2,TRINITY_DN3196_c0_g1_i26.p1,TRINITY_DN1404_c0_g1_i8.p1,TRINITY_DN1876_c0_g1_i10.p1
N0.HOG0027004,OG0012338,n0,TRINITY_DN24488_c0_g1_i15.p1,TRINITY_DN47794_c0_g1_i13.p1,TRINITY_DN117042_c0_g1_i11.p3,TRINITY_DN50939_c0_g1_i7.p1
N0.HOG0027006,OG0012340,n0,TRINITY_DN24512_c0_g1_i1.p1,TRINITY_DN21893_c0_g1_i7.p1,TRINITY_DN22448_c0_g1_i6.p1,TRINITY_DN31764_c0_g1_i2.p1
N0.HOG0027007,OG0012341,n0,TRINITY_DN24521_c0_g1_i5.p1,TRINITY_DN15435_c0_g1_i4.p1,TRINITY_DN13088_c0_g1_i5.p1,TRINITY_DN6243_c0_g1_i6.p1
N0.HOG0027008,OG0012342,n0,TRINITY_DN24525_c0_g1_i7.p1,TRINITY_DN11419_c0_g1_i4.p1,TRINITY_DN3972_c0_g1_i8.p1,TRINITY_DN15973_c0_g1_i2.p3
N0.HOG0027009,OG0012343,n0,TRINITY_DN24527_c0_g1_i2.p1,TRINITY_DN13706_c0_g1_i3.p1,TRINITY_DN27106_c0_g1_i9.p1,TRINITY_DN17445_c0_g1_i2.p1
N0.HOG0027010,OG0012344,n0,TRINITY_DN24538_c0_g1_i5.p1,TRINITY_DN38208_c0_g1_i15.p1,TRINITY_DN101207_c0_g1_i4.p1,TRINITY_DN33742_c0_g1_i7.p1
N0.HOG0027011,OG0012345,n0,TRINITY_DN2453_c0_g1_i6.p1,TRINITY_DN2281_c3_g1_i4.p1,TRINITY_DN8452_c0_g1_i3.p1,TRINITY_DN5220_c0_g1_i2.p1
N0.HOG0027012,OG0012346,n0,TRINITY_DN24561_c0_g1_i5.p1,TRINITY_DN20165_c0_g1_i1.p1,TRINITY_DN21089_c0_g1_i1.p1,TRINITY_DN7194_c0_g1_i1.p1
N0.HOG0027013,OG0012347,n0,TRINITY_DN2457_c0_g1_i16.p3,TRINITY_DN11635_c0_g2_i11.p2,TRINITY_DN4632_c0_g1_i11.p2,TRINITY_DN8046_c0_g1_i5.p2
N0.HOG0027014,OG0012348,n0,TRINITY_DN2457_c0_g1_i16.p2,TRINITY_DN11635_c0_g2_i11.p1,TRINITY_DN4632_c0_g1_i11.p1,TRINITY_DN8046_c0_g1_i5.p1
N0.HOG0027015,OG0012349,n0,TRINITY_DN246064_c0_g1_i2.p1,TRINITY_DN2003_c1_g1_i11.p1,TRINITY_DN587_c0_g1_i5.p1,TRINITY_DN255_c1_g1_i9.p1
N0.HOG0027016,OG0012350,n0,TRINITY_DN24613_c0_g1_i3.p1,TRINITY_DN17797_c0_g1_i9.p1,TRINITY_DN8601_c0_g1_i1.p1,TRINITY_DN7034_c1_g1_i3.p1
N0.HOG0027017,OG0012351,n0,TRINITY_DN24625_c0_g1_i4.p1,TRINITY_DN25904_c0_g1_i1.p1,TRINITY_DN9842_c0_g1_i9.p1,TRINITY_DN22105_c0_g1_i4.p1
N0.HOG0027018,OG0012352,n0,TRINITY_DN24632_c0_g1_i13.p2,TRINITY_DN21629_c0_g1_i9.p1,TRINITY_DN11846_c0_g1_i3.p1,TRINITY_DN11967_c0_g1_i8.p1
N0.HOG0027019,OG0012353,n0,TRINITY_DN24638_c0_g1_i16.p1,TRINITY_DN16047_c0_g1_i9.p1,TRINITY_DN91962_c0_g1_i2.p1,TRINITY_DN4787_c0_g1_i4.p1
N0.HOG0027020,OG0012354,n0,TRINITY_DN246489_c0_g1_i1.p1,TRINITY_DN264858_c0_g1_i2.p1,TRINITY_DN312523_c0_g1_i1.p1,TRINITY_DN71871_c0_g1_i2.p1
N0.HOG0027021,OG0012355,n0,TRINITY_DN2464_c2_g1_i1.p1,TRINITY_DN36714_c0_g1_i1.p1,TRINITY_DN5992_c0_g1_i4.p1,TRINITY_DN9474_c0_g1_i6.p1
N0.HOG0027022,OG0012356,n0,TRINITY_DN24673_c0_g1_i6.p1,TRINITY_DN25905_c0_g1_i7.p1,TRINITY_DN94263_c0_g1_i5.p1,TRINITY_DN14046_c0_g1_i8.p1
N0.HOG0027023,OG0012357,n0,TRINITY_DN24676_c0_g1_i6.p1,TRINITY_DN4799_c0_g1_i2.p1,TRINITY_DN64049_c0_g1_i6.p1,TRINITY_DN34353_c0_g1_i2.p1
N0.HOG0027024,OG0012358,n0,TRINITY_DN246771_c0_g1_i1.p1,TRINITY_DN66917_c0_g1_i3.p1,TRINITY_DN13158_c0_g1_i1.p1,TRINITY_DN4389_c0_g1_i3.p1
N0.HOG0027025,OG0012359,n0,TRINITY_DN2468_c0_g1_i9.p1,TRINITY_DN14273_c0_g1_i9.p1,TRINITY_DN6613_c1_g1_i7.p1,TRINITY_DN8160_c0_g1_i1.p1
N0.HOG0027026,OG0012360,n0,TRINITY_DN24700_c0_g1_i1.p1,TRINITY_DN13115_c0_g1_i4.p1,TRINITY_DN1337_c0_g1_i6.p1,TRINITY_DN9466_c0_g1_i13.p1
N0.HOG0027027,OG0012361,n0,TRINITY_DN24709_c0_g1_i3.p1,TRINITY_DN9053_c0_g1_i10.p1,TRINITY_DN15984_c0_g1_i2.p1,TRINITY_DN6051_c0_g1_i1.p1
N0.HOG0027028,OG0012362,n0,TRINITY_DN24710_c0_g1_i5.p1,TRINITY_DN12547_c0_g1_i9.p1,TRINITY_DN37822_c0_g1_i5.p1,TRINITY_DN15949_c0_g1_i6.p1
N0.HOG0027030,OG0012364,n0,TRINITY_DN24723_c0_g1_i8.p1,TRINITY_DN18791_c0_g1_i12.p1,TRINITY_DN22370_c0_g2_i1.p1,TRINITY_DN37856_c0_g1_i9.p1
N0.HOG0027031,OG0012365,n0,TRINITY_DN2472_c2_g1_i9.p1,TRINITY_DN3628_c0_g1_i1.p1,TRINITY_DN228418_c0_g1_i2.p1,TRINITY_DN14092_c0_g1_i6.p1
N0.HOG0027032,OG0012366,n0,TRINITY_DN247380_c0_g1_i1.p1,TRINITY_DN138997_c0_g1_i2.p1,TRINITY_DN50395_c0_g1_i3.p1,TRINITY_DN253077_c0_g1_i1.p1
N0.HOG0027033,OG0012367,n0,TRINITY_DN24738_c0_g1_i3.p1,TRINITY_DN499556_c0_g1_i1.p1,TRINITY_DN39134_c0_g1_i2.p1,TRINITY_DN11925_c0_g1_i2.p1
N0.HOG0027034,OG0012368,n0,TRINITY_DN24740_c0_g1_i3.p1,TRINITY_DN4281_c0_g1_i10.p1,TRINITY_DN289027_c0_g1_i12.p1,TRINITY_DN33665_c0_g1_i10.p1
N0.HOG0027035,OG0012369,n0,TRINITY_DN24743_c0_g1_i5.p1,TRINITY_DN49075_c0_g1_i4.p1,TRINITY_DN45767_c0_g1_i5.p1,TRINITY_DN45275_c0_g1_i3.p1
N0.HOG0027036,OG0012370,n0,TRINITY_DN24745_c0_g1_i3.p1,TRINITY_DN20470_c0_g1_i4.p1,TRINITY_DN2709_c0_g1_i3.p1,TRINITY_DN5212_c0_g1_i2.p1
N0.HOG0027037,OG0012371,n0,TRINITY_DN2475_c0_g1_i14.p1,TRINITY_DN15124_c0_g1_i8.p1,TRINITY_DN5447_c0_g1_i10.p1,TRINITY_DN4376_c0_g1_i7.p1
N0.HOG0027038,OG0012372,n0,TRINITY_DN2476_c0_g1_i2.p1,TRINITY_DN11099_c0_g1_i7.p1,TRINITY_DN9702_c0_g1_i2.p1,TRINITY_DN11817_c0_g1_i8.p1
N0.HOG0027039,OG0012373,n0,TRINITY_DN2478_c0_g1_i6.p1,TRINITY_DN101212_c0_g1_i4.p1,TRINITY_DN165922_c0_g1_i1.p1,TRINITY_DN160728_c0_g1_i2.p1
N0.HOG0027041,OG0012375,n0,TRINITY_DN2482_c0_g1_i6.p1,TRINITY_DN1384_c0_g1_i6.p1,TRINITY_DN8202_c0_g1_i3.p1,TRINITY_DN10318_c0_g1_i6.p1
N0.HOG0027042,OG0012376,n0,TRINITY_DN2482_c4_g1_i2.p1,TRINITY_DN26096_c0_g1_i1.p1,TRINITY_DN821_c0_g2_i1.p1,TRINITY_DN29298_c0_g1_i10.p1
N0.HOG0027044,OG0012378,n0,TRINITY_DN24848_c0_g1_i2.p2,TRINITY_DN64770_c0_g1_i1.p1,TRINITY_DN5437_c0_g1_i2.p1,TRINITY_DN17738_c0_g1_i2.p1
N0.HOG0027045,OG0012379,n0,TRINITY_DN24849_c0_g1_i2.p1,TRINITY_DN69672_c0_g1_i5.p1,TRINITY_DN44927_c0_g1_i4.p1,TRINITY_DN30024_c0_g1_i3.p1
N0.HOG0027046,OG0012380,n0,TRINITY_DN24873_c0_g1_i3.p1,TRINITY_DN1869_c0_g1_i12.p1,TRINITY_DN23312_c0_g1_i1.p1,TRINITY_DN4388_c1_g1_i7.p1
N0.HOG0027047,OG0012381,n0,TRINITY_DN248777_c0_g1_i1.p1,TRINITY_DN150755_c0_g1_i1.p1,TRINITY_DN93174_c0_g1_i1.p1,TRINITY_DN330318_c0_g1_i5.p1
N0.HOG0027048,OG0012382,n0,TRINITY_DN2487_c0_g1_i10.p1,TRINITY_DN6484_c0_g1_i1.p1,TRINITY_DN4231_c0_g1_i4.p1,TRINITY_DN7186_c0_g1_i2.p1
N0.HOG0027049,OG0012383,n0,TRINITY_DN24887_c0_g1_i1.p1,TRINITY_DN13844_c0_g1_i1.p1,TRINITY_DN7025_c0_g1_i6.p1,TRINITY_DN6657_c0_g1_i8.p1
N0.HOG0027050,OG0012384,n0,TRINITY_DN24894_c0_g1_i1.p1,TRINITY_DN46462_c0_g1_i1.p1,TRINITY_DN22346_c0_g1_i9.p1,TRINITY_DN198347_c0_g1_i7.p1
N0.HOG0027051,OG0012385,n0,TRINITY_DN24904_c0_g1_i4.p1,TRINITY_DN91551_c0_g1_i3.p1,TRINITY_DN4473_c0_g1_i1.p1,TRINITY_DN7354_c0_g1_i2.p1
N0.HOG0027053,OG0012387,n0,TRINITY_DN24926_c0_g2_i10.p1,TRINITY_DN20869_c0_g1_i2.p1,TRINITY_DN18027_c0_g1_i5.p1,TRINITY_DN71407_c0_g1_i2.p1
N0.HOG0027054,OG0012388,n0,TRINITY_DN24938_c0_g1_i7.p1,TRINITY_DN16928_c0_g1_i7.p1,TRINITY_DN12096_c0_g1_i2.p1,TRINITY_DN69169_c0_g1_i5.p1
N0.HOG0027055,OG0012389,n0,TRINITY_DN2494_c0_g1_i3.p1,TRINITY_DN16053_c0_g1_i4.p1,TRINITY_DN29203_c0_g1_i2.p1,TRINITY_DN15617_c0_g1_i1.p1
N0.HOG0027056,OG0012390,n0,TRINITY_DN249556_c0_g1_i5.p1,TRINITY_DN9832_c0_g1_i3.p1,TRINITY_DN8448_c0_g1_i3.p1,TRINITY_DN25689_c0_g1_i3.p1
N0.HOG0027057,OG0012391,n0,TRINITY_DN2499_c0_g1_i13.p1,TRINITY_DN30992_c0_g1_i3.p1,TRINITY_DN19669_c0_g1_i6.p1,TRINITY_DN6237_c0_g1_i2.p1
N0.HOG0027058,OG0012392,n0,TRINITY_DN24_c6_g1_i4.p1,TRINITY_DN4662_c0_g1_i2.p1,TRINITY_DN5306_c0_g1_i10.p1,TRINITY_DN11028_c0_g1_i8.p1
N0.HOG0027059,OG0012393,n0,TRINITY_DN2500_c0_g2_i8.p1,TRINITY_DN20013_c0_g1_i1.p1,TRINITY_DN14715_c0_g1_i1.p1,TRINITY_DN16158_c0_g1_i4.p1
N0.HOG0027060,OG0012394,n0,TRINITY_DN25031_c0_g1_i3.p1,TRINITY_DN27730_c0_g1_i1.p1,TRINITY_DN15052_c0_g1_i2.p1,TRINITY_DN7997_c0_g1_i7.p1
N0.HOG0027061,OG0012395,n0,TRINITY_DN2504_c1_g1_i9.p1,TRINITY_DN3459_c0_g2_i5.p1,TRINITY_DN3008_c0_g1_i6.p1,TRINITY_DN3092_c0_g1_i2.p1
N0.HOG0027062,OG0012396,n0,TRINITY_DN2505_c0_g1_i9.p1,TRINITY_DN18374_c0_g1_i9.p1,TRINITY_DN14302_c0_g1_i4.p1,TRINITY_DN9894_c0_g1_i3.p1
N0.HOG0027063,OG0012397,n0,TRINITY_DN2506_c0_g1_i10.p1,TRINITY_DN8341_c0_g1_i1.p1,TRINITY_DN14378_c0_g1_i3.p1,TRINITY_DN18598_c1_g1_i5.p1
N0.HOG0027064,OG0012398,n0,TRINITY_DN250782_c0_g1_i1.p1,TRINITY_DN375307_c0_g1_i2.p1,TRINITY_DN81876_c0_g1_i3.p1,TRINITY_DN50385_c0_g1_i1.p1
N0.HOG0027065,OG0012399,n0,TRINITY_DN2507_c0_g1_i13.p1,TRINITY_DN16058_c0_g1_i3.p1,TRINITY_DN8344_c0_g1_i2.p1,TRINITY_DN4886_c0_g1_i5.p1
N0.HOG0027066,OG0012400,n0,TRINITY_DN25102_c0_g1_i3.p1,TRINITY_DN6158_c1_g1_i9.p1,TRINITY_DN11106_c0_g1_i1.p1,TRINITY_DN18657_c0_g1_i1.p1
N0.HOG0027067,OG0012401,n0,TRINITY_DN251046_c0_g1_i1.p1,TRINITY_DN72786_c0_g1_i1.p1,TRINITY_DN268580_c0_g1_i5.p1,TRINITY_DN82193_c0_g1_i1.p1
N0.HOG0027068,OG0012402,n0,TRINITY_DN25112_c0_g1_i3.p1,TRINITY_DN25733_c1_g1_i6.p1,TRINITY_DN1439_c0_g1_i19.p1,TRINITY_DN14532_c0_g1_i2.p1
N0.HOG0027069,OG0012403,n0,TRINITY_DN2511_c0_g1_i9.p1,TRINITY_DN4677_c0_g1_i5.p1,TRINITY_DN5868_c0_g1_i2.p1,TRINITY_DN8861_c0_g1_i6.p1
N0.HOG0027070,OG0012404,n0,TRINITY_DN25122_c0_g1_i5.p1,TRINITY_DN13461_c0_g1_i6.p1,TRINITY_DN10785_c0_g1_i3.p1,TRINITY_DN29030_c0_g1_i9.p1
N0.HOG0027071,OG0012405,n0,TRINITY_DN25125_c0_g1_i1.p1,TRINITY_DN2526_c0_g1_i2.p1,TRINITY_DN19200_c0_g1_i5.p1,TRINITY_DN16130_c0_g1_i4.p1
N0.HOG0027072,OG0012406,n0,TRINITY_DN25127_c0_g1_i2.p1,TRINITY_DN2950_c0_g1_i1.p1,TRINITY_DN23630_c0_g1_i6.p1,TRINITY_DN5251_c1_g1_i1.p1
N0.HOG0027073,OG0012407,n0,TRINITY_DN251382_c0_g1_i1.p1,TRINITY_DN133771_c0_g1_i1.p1,TRINITY_DN152147_c0_g1_i2.p1,TRINITY_DN314903_c0_g1_i2.p1
N0.HOG0027074,OG0012408,n0,TRINITY_DN25150_c0_g1_i4.p1,TRINITY_DN54645_c0_g1_i1.p1,TRINITY_DN157076_c0_g1_i4.p1,TRINITY_DN46640_c0_g1_i1.p1
N0.HOG0027075,OG0012409,n0,TRINITY_DN25160_c0_g1_i1.p1,TRINITY_DN222725_c0_g1_i1.p1,TRINITY_DN135378_c0_g1_i1.p1,TRINITY_DN65101_c0_g1_i7.p1
N0.HOG0027076,OG0012410,n0,TRINITY_DN25172_c0_g1_i12.p1,TRINITY_DN6029_c0_g1_i11.p1,TRINITY_DN6554_c0_g1_i5.p1,TRINITY_DN13410_c0_g1_i2.p1
N0.HOG0027077,OG0012411,n0,TRINITY_DN251815_c0_g1_i2.p1,TRINITY_DN87470_c0_g1_i9.p1,TRINITY_DN220002_c0_g1_i1.p1,TRINITY_DN342086_c0_g2_i4.p1
N0.HOG0027078,OG0012412,n0,TRINITY_DN2518_c2_g1_i1.p1,TRINITY_DN12847_c1_g1_i7.p1,TRINITY_DN6720_c0_g1_i5.p1,TRINITY_DN1050_c0_g1_i1.p1
N0.HOG0027079,OG0012413,n0,TRINITY_DN25199_c0_g1_i1.p1,TRINITY_DN13543_c0_g1_i2.p1,TRINITY_DN1262_c0_g1_i6.p1,TRINITY_DN10245_c0_g1_i11.p1
N0.HOG0027080,OG0012414,n0,TRINITY_DN2519_c0_g1_i11.p1,TRINITY_DN4448_c0_g1_i3.p1,TRINITY_DN3296_c1_g1_i4.p1,TRINITY_DN8587_c1_g1_i4.p1
N0.HOG0027081,OG0012415,n0,TRINITY_DN25202_c0_g1_i1.p1,TRINITY_DN4883_c0_g1_i11.p1,TRINITY_DN59980_c0_g1_i9.p1,TRINITY_DN4958_c0_g1_i5.p1
N0.HOG0027082,OG0012416,n0,TRINITY_DN252080_c0_g1_i2.p1,TRINITY_DN42681_c0_g1_i4.p1,TRINITY_DN93153_c0_g1_i2.p1,TRINITY_DN89498_c0_g1_i1.p1
N0.HOG0027083,OG0012417,n0,TRINITY_DN252086_c0_g1_i1.p1,TRINITY_DN300019_c0_g1_i1.p1,TRINITY_DN6280_c0_g1_i13.p1,TRINITY_DN7402_c0_g1_i6.p1
N0.HOG0027084,OG0012418,n0,TRINITY_DN25233_c0_g1_i3.p1,TRINITY_DN15374_c0_g1_i4.p1,TRINITY_DN185928_c0_g1_i1.p1,TRINITY_DN30613_c0_g1_i8.p1
N0.HOG0027085,OG0012419,n0,TRINITY_DN2523_c0_g1_i4.p1,TRINITY_DN7094_c0_g1_i3.p1,TRINITY_DN10571_c0_g1_i2.p1,TRINITY_DN2802_c0_g1_i3.p1
N0.HOG0027086,OG0012420,n0,TRINITY_DN25245_c0_g1_i7.p1,TRINITY_DN26339_c0_g1_i5.p1,TRINITY_DN25030_c3_g1_i5.p1,TRINITY_DN52336_c0_g2_i2.p1
N0.HOG0027087,OG0012421,n0,TRINITY_DN25251_c0_g1_i1.p1,TRINITY_DN1685_c0_g1_i5.p1,TRINITY_DN13234_c0_g1_i5.p1,TRINITY_DN15560_c0_g1_i3.p1
N0.HOG0027088,OG0012422,n0,TRINITY_DN25256_c0_g1_i8.p1,TRINITY_DN26365_c2_g1_i5.p1,TRINITY_DN12306_c0_g1_i4.p1,TRINITY_DN6435_c0_g1_i1.p1
N0.HOG0027089,OG0012423,n0,TRINITY_DN252591_c0_g1_i3.p1,TRINITY_DN392291_c0_g1_i1.p1,TRINITY_DN445385_c0_g1_i1.p1,TRINITY_DN153705_c0_g1_i1.p1
N0.HOG0027090,OG0012424,n0,TRINITY_DN25270_c0_g1_i4.p1,TRINITY_DN49828_c0_g1_i2.p1,TRINITY_DN5731_c0_g1_i3.p1,TRINITY_DN5340_c0_g1_i2.p1
N0.HOG0027091,OG0012425,n0,TRINITY_DN2527_c0_g1_i1.p2,TRINITY_DN8669_c0_g1_i3.p1,TRINITY_DN44233_c0_g1_i6.p1,TRINITY_DN15102_c0_g1_i5.p1
N0.HOG0027092,OG0012426,n0,TRINITY_DN2527_c0_g1_i1.p1,TRINITY_DN17659_c0_g1_i4.p1,TRINITY_DN4925_c0_g1_i7.p1,TRINITY_DN9403_c0_g1_i9.p1
N0.HOG0027094,OG0012428,n0,TRINITY_DN25289_c0_g1_i2.p1,TRINITY_DN6465_c0_g1_i2.p1,TRINITY_DN7044_c0_g1_i1.p1,TRINITY_DN11667_c0_g1_i1.p1
N0.HOG0027095,OG0012429,n0,TRINITY_DN252_c0_g1_i3.p1,TRINITY_DN528_c7_g1_i3.p1,TRINITY_DN9856_c0_g1_i3.p1,TRINITY_DN3335_c0_g1_i3.p1
N0.HOG0027096,OG0012430,n0,TRINITY_DN252_c0_g2_i1.p1,TRINITY_DN10672_c0_g1_i4.p1,TRINITY_DN29538_c0_g1_i2.p1,TRINITY_DN6040_c0_g1_i1.p1
N0.HOG0027098,OG0012432,n0,TRINITY_DN25315_c0_g1_i6.p1,TRINITY_DN32354_c0_g1_i11.p1,TRINITY_DN28121_c0_g1_i2.p1,TRINITY_DN19461_c0_g1_i3.p1
N0.HOG0027099,OG0012433,n0,TRINITY_DN25337_c0_g1_i2.p1,TRINITY_DN14315_c0_g1_i7.p1,TRINITY_DN14353_c0_g1_i4.p1,TRINITY_DN16413_c0_g1_i5.p1
N0.HOG0027101,OG0012435,n0,TRINITY_DN253482_c0_g1_i2.p1,TRINITY_DN293577_c0_g1_i1.p2,TRINITY_DN328773_c0_g1_i2.p1,TRINITY_DN269632_c0_g1_i1.p1
N0.HOG0027102,OG0012436,n0,TRINITY_DN25358_c0_g1_i6.p1,TRINITY_DN10245_c0_g1_i6.p1,TRINITY_DN28576_c0_g2_i2.p1,TRINITY_DN31628_c0_g1_i2.p1
N0.HOG0027103,OG0012437,n0,TRINITY_DN2536_c0_g1_i7.p1,TRINITY_DN9111_c0_g1_i4.p1,TRINITY_DN13195_c0_g1_i4.p1,TRINITY_DN9780_c1_g1_i12.p1
N0.HOG0027104,OG0012438,n0,TRINITY_DN2539_c0_g1_i8.p1,TRINITY_DN10390_c0_g2_i6.p1,TRINITY_DN5422_c0_g1_i1.p1,TRINITY_DN6164_c0_g1_i2.p1
N0.HOG0027105,OG0012439,n0,TRINITY_DN253_c0_g2_i2.p1,TRINITY_DN581_c0_g1_i2.p1,TRINITY_DN8170_c0_g1_i3.p1,TRINITY_DN30571_c0_g1_i5.p1
N0.HOG0027106,OG0012440,n0,TRINITY_DN25407_c1_g1_i14.p1,TRINITY_DN96760_c0_g1_i7.p1,TRINITY_DN21468_c1_g1_i1.p1,TRINITY_DN27064_c0_g1_i9.p1
N0.HOG0027107,OG0012441,n0,TRINITY_DN25412_c0_g1_i33.p3,TRINITY_DN20061_c0_g1_i9.p1,TRINITY_DN9485_c0_g1_i2.p1,TRINITY_DN19080_c0_g1_i7.p1
N0.HOG0027108,OG0012442,n0,TRINITY_DN25425_c0_g1_i1.p1,TRINITY_DN36841_c0_g1_i12.p1,TRINITY_DN47385_c0_g1_i10.p1,TRINITY_DN71497_c0_g1_i4.p1
N0.HOG0027109,OG0012443,n0,TRINITY_DN2545_c1_g1_i13.p1,TRINITY_DN30642_c0_g1_i5.p1,TRINITY_DN25900_c0_g1_i24.p1,TRINITY_DN34064_c0_g1_i3.p1
N0.HOG0027110,OG0012444,n0,TRINITY_DN25472_c0_g1_i2.p1,TRINITY_DN16202_c0_g1_i14.p1,TRINITY_DN38300_c0_g1_i10.p1,TRINITY_DN8901_c0_g1_i9.p1
N0.HOG0027111,OG0012445,n0,TRINITY_DN25483_c0_g1_i6.p1,TRINITY_DN6632_c2_g1_i2.p1,TRINITY_DN101203_c0_g1_i9.p1,TRINITY_DN7077_c0_g1_i10.p1
N0.HOG0027112,OG0012446,n0,TRINITY_DN2549_c0_g1_i6.p1,TRINITY_DN8370_c0_g1_i2.p1,TRINITY_DN52965_c0_g1_i12.p1,TRINITY_DN176_c0_g1_i3.p1
N0.HOG0027113,OG0012447,n0,TRINITY_DN254_c1_g1_i2.p1,TRINITY_DN9876_c0_g1_i5.p1,TRINITY_DN4857_c0_g1_i1.p1,TRINITY_DN3780_c0_g1_i2.p1
N0.HOG0027114,OG0012448,n0,TRINITY_DN25506_c0_g1_i6.p1,TRINITY_DN14047_c0_g1_i4.p1,TRINITY_DN107567_c0_g1_i4.p1,TRINITY_DN15206_c0_g1_i6.p1
N0.HOG0027115,OG0012449,n0,TRINITY_DN25517_c0_g1_i9.p1,TRINITY_DN38239_c0_g1_i1.p1,TRINITY_DN37420_c0_g1_i6.p1,TRINITY_DN23638_c0_g1_i6.p1
N0.HOG0027116,OG0012450,n0,TRINITY_DN255206_c0_g1_i1.p1,TRINITY_DN292625_c0_g1_i2.p1,TRINITY_DN16256_c2_g1_i1.p1,TRINITY_DN72960_c0_g1_i1.p1
N0.HOG0027117,OG0012451,n0,TRINITY_DN25529_c0_g1_i6.p1,TRINITY_DN24369_c0_g1_i2.p1,TRINITY_DN14598_c0_g1_i2.p1,TRINITY_DN1749_c2_g1_i2.p1
